Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Man City,38,32,4,2,106,27,79,100,344,58,2,664,261
2,Man United,38,25,6,7,68,28,40,81,404,64,1,513,181
3,Tottenham,38,23,8,7,74,36,38,77,384,49,2,622,217
4,Liverpool,38,21,12,5,84,38,46,75,344,44,1,640,233
5,Chelsea,38,21,7,10,62,38,24,70,363,41,4,606,220
6,Arsenal,38,19,6,13,74,51,23,63,383,57,2,591,233
7,Burnley,38,14,12,12,36,39,-3,54,350,65,0,379,127
8,Everton,38,13,10,15,44,58,-14,49,459,51,3,360,122
9,Leicester,38,12,11,15,56,60,-4,47,365,52,5,422,148
10,Newcastle,38,12,8,18,39,47,-8,44,409,52,2,449,150
11,Crystal Palace,38,11,11,16,45,55,-10,44,425,71,0,475,151
12,Bournemouth,38,11,11,16,45,61,-16,44,337,55,1,466,157
13,West Ham,38,10,12,16,48,68,-20,42,379,72,2,373,133
14,Watford,38,11,8,19,44,64,-20,41,441,63,4,440,132
15,Brighton,38,9,13,16,34,54,-20,40,413,54,2,383,118
16,Huddersfield,38,9,10,19,28,58,-30,37,396,61,3,360,111
17,Southampton,38,7,15,16,37,56,-19,36,416,63,2,451,145
18,Swansea,38,8,9,21,28,56,-28,33,377,51,1,336,104
19,Stoke,38,7,12,19,35,68,-33,33,436,62,1,382,131
20,West Brom,38,6,13,19,31,56,-25,31,440,72,1,375,114
